Location,Country,County,CSV,Grid Reference,Latitude,Longitude,Elevation
TENTERDEN-VIEW-TOWER,England,Kent-stayed-Kent,TENTERDEN-VIEW-TOWER-2.csv,TQ888334,51.070,0.695,190
TERRINGTON,England,Norfolk,TERRINGTON.csv,TF550199,52.755,0.295,18
TEWKESBURY-FORTHAMPTON-COURT,England,Gloucestershire,TEWKESBURY-FORTHAMPTON-COURT.csv,SO870318,51.985,-2.191,48
TEWKESBURY-UPPER-LODE,England,Gloucestershire,TEWKESBURY-UPPER-LODE.csv,SO880330,51.995,-2.176,41
TEWKESBURY-WW,England,Gloucestershire,TEWKESBURY-WW.csv,SO890337,52.002,-2.162,47
TEYNHAM-NEW-GARDENS,England,Kent-stayed-Kent,TEYNHAM-NEW-GARDENS.csv,TQ955629,51.332,0.805,30
THAME-ASTON-ROWANT,England,Oxfordshire,THAME-ASTON-ROWANT.csv,SU727990,51.685,-0.950,395
THAME-TYTHROP-HOUSE,England,Oxfordshire,THAME-TYTHROP-HOUSE.csv,SP739070,51.757,-0.931,266
THE-HYDE-CRAWLEY,England,Sussex,THE-HYDE-CRAWLEY.csv,TQ246301,51.057,-0.224,300
THE-STYE,England,Cumberland,THE-STYE.csv,NY230107,54.486,-3.190,948
THE-STYE,England,Cumberland,THE-STYE-2.csv,NY230108,54.487,-3.190,1077
THE-STYE,England,Cumberland,THE-STYE-3.csv,NY230108,54.487,-3.190,1077
THE-STYE,England,Cumberland,THE-STYE-4.csv,NY231107,54.486,-3.189,1077
THE-STYE,England,Cumberland,THE-STYE-5.csv,NY231107,54.486,-3.189,1077
THE-STYE,England,Cumberland,THE-STYE-6.csv,NY231107,54.486,-3.189,1077
THE-STYE,England,Cumberland,THE-STYE-7.csv,NY232107,54.486,-3.187,1077
THE-STYE,England,Cumberland,THE-STYE-8.csv,NY231107,54.486,-3.189,1070
THE-STYE,England,Cumberland,THE-STYE-9.csv,NY230108,54.487,-3.190,1100
THETFORD,England,Norfolk,THETFORD.csv,TL874832,52.415,0.755,75
THETFORD-KILVERSTONE-HALL,England,Norfolk,THETFORD-KILVERSTONE-HALL.csv,TL892841,52.422,0.781,70
THETFORD-WW,England,Norfolk,THETFORD-WW.csv,TL865845,52.427,0.742,170
THEYDON-BOIS-THRIFTS-HALL,England,Essex,THEYDON-BOIS-THRIFTS-HALL.csv,TQ458987,51.668,0.107,245
THIRLESTANE,Scotland,Berwickshire,THIRLESTANE.csv,NT567479,55.723,-2.691,538
THIRLMERE-DALE-HEAD-HALL,England,Cumberland,THIRLMERE-DALE-HEAD-HALL.csv,NY313175,54.548,-3.064,620
THIRSK-SOWERBY,England,Yorkshire North Riding,THIRSK-SOWERBY.csv,SE425818,54.231,-1.349,118
