Block Id,BlockType,TextType,Confidence,Top,Left,Polygon Points,Text
[95334dd0-7ee7-4d56-9ad7-8efde50365ad],WORD,HANDWRITING,95.403,0.36197,0.10141,4,[0.00]
[f56f73c5-9ed5-4cec-b380-04c31ec77da9],WORD,HANDWRITING,96.785,0.35859,0.16660,4,[0.00]
[6226f136-5763-4405-b6be-a06d324b299c],WORD,HANDWRITING,92.510,0.35652,0.23278,4,[0.8]
[e6f0b981-3cb7-4bb4-a05b-03c5e2e7d9f2],WORD,HANDWRITING,96.433,0.35711,0.30256,4,[0.00]
[e53407ec-0f8f-46fd-9ae3-3c866c9f7f56],WORD,HANDWRITING,99.579,0.35540,0.36829,4,[0.00]
[77187441-ddb4-4b7f-9d95-3743ad967901],WORD,PRINTED,87.059,0.35233,0.43647,4,[0.00]
[753625dc-16a7-4d93-8958-cc4b6d0371a8],WORD,PRINTED,96.967,0.36862,0.05563,4,[8]
[033ec89c-12b3-4bd1-ba2a-ab7709872caf],WORD,HANDWRITING,72.827,0.38177,0.10172,4,[0.210.00]
[fbc96fce-fd86-45d2-bc6e-b43a3ac1f54f],WORD,HANDWRITING,98.985,0.38017,0.23204,4,[0.13]
[b0934eff-a9b6-413a-99ee-e327bcf43f0e],WORD,HANDWRITING,87.433,0.37685,0.30159,4,[0.5]
[2404cd45-166e-4024-a23b-93034c3d01bd],WORD,HANDWRITING,99.534,0.37770,0.36668,4,[0.00]
[c4258ba9-b21b-4c30-90e5-0c240e6b0a2f],WORD,HANDWRITING,97.742,0.37473,0.43584,4,[0.12]
[d4fed327-b25c-4a54-8a8c-40fdd7952ff1],WORD,HANDWRITING,92.461,0.37359,0.50399,4,[0.2]
[24ef0917-fcef-4c16-abe2-68b578732900],WORD,HANDWRITING,99.165,0.37300,0.57117,4,[0.00]
[f6a37806-6d7c-4ee7-9da1-82e13596f849],WORD,HANDWRITING,99.060,0.37009,0.63990,4,[0.00]
[fb581d49-b02f-4915-94dc-397312fe3e9d],WORD,HANDWRITING,99.694,0.36892,0.71278,4,[0.00]
[d2545cb8-799c-420c-85ff-f2299c897c54],WORD,HANDWRITING,97.171,0.36676,0.77994,4,[0.29]
[6b47e27e-3a15-447f-bbd4-8d0d389b3438],WORD,HANDWRITING,98.481,0.36579,0.84899,4,[0.00]
[8a833a16-fc40-4782-97ef-9d455fde854a],WORD,PRINTED,92.453,0.36728,0.93475,4,[9]
[d5a90300-8d80-4b8d-9a6d-e2fa8d728c8c],WORD,PRINTED,40.325,0.39106,0.05259,4,[P]
[a164571a-3391-4ff1-99a0-338d810b5f4b],WORD,PRINTED,97.091,0.41161,0.04376,4,[10]
[fb3a4201-59cd-472d-8dcb-97fec1e7681c],WORD,HANDWRITING,84.187,0.40370,0.09657,4,[0.470.2]
[5f3b553a-5b03-4c69-870f-e5233eec5a43],WORD,HANDWRITING,64.798,0.40186,0.23210,4,[0.3]
[696d258f-7de9-42a4-8ec9-3742af699548],WORD,HANDWRITING,72.969,0.39960,0.30076,4,[10.000.00]
[e822c13a-e4ae-4676-b79f-a8eebfe0cfeb],WORD,HANDWRITING,99.819,0.39771,0.43487,4,[0.00]
[7327404a-9ca0-4813-91da-fc2856995720],WORD,HANDWRITING,99.080,0.39769,0.50304,4,[1.00]
[012b7dca-287e-4f3e-8f4a-73ba887411cc],WORD,HANDWRITING,97.267,0.39252,0.56880,4,[1.09]
[956eca3c-5c15-490b-a03d-6cde4cb00175],WORD,HANDWRITING,99.813,0.39280,0.64172,4,[0.00]
[bb0f80a9-44cb-489f-8239-70bcbb997820],WORD,HANDWRITING,57.248,0.39022,0.71243,4,[0.000.00]
[94f7b505-5c04-434e-b6d3-b6b60ad10356],WORD,HANDWRITING,98.822,0.38957,0.84748,4,[0.00]
[6dcf7440-b31a-4e8d-baf9-6390bff8fd2e],WORD,PRINTED,99.806,0.38950,0.92826,4,[10]
